1000W,,800W,,600W,,400W,,200W,
X,Y,X,Y,X,Y,X,Y,X,Y
30.499999999999996,9.984261945527818,30.499999999999996,7.911191237769009,30.499999999999996,6.1450999764965895,30.499999999999996,4.0307011251963445,30.499999999999996,2.099710197955986
30.749999999999996,9.939961451625614,30.749999999999996,7.871183276474151,30.749999999999996,6.092260504168266,30.749999999999996,3.9853928267004495,30.749999999999996,2.0833083214491044
30.999999999999996,9.89357674846318,30.999999999999996,7.811286625018699,30.999999999999996,6.039291145203439,30.999999999999996,3.949774786584209,30.999999999999996,2.068693050195874
31.249999999999996,9.844585353952391,31.249999999999996,7.755243172082269,31.249999999999996,5.9798210641075675,31.249999999999996,3.8904848064641406,31.249999999999996,2.037875997523061
31.499999999999996,9.798326199630624,31.499999999999996,7.696480947887361,31.499999999999996,5.921703490338157,31.499999999999996,3.8498300822430647,31.499999999999996,2.0070939265324323
31.749999999999996,9.744681037003598,31.749999999999996,7.636761596172732,31.749999999999996,5.840184725627123,31.749999999999996,3.7893072185223247,31.749999999999996,1.9762202339945354
31.999999999999996,9.683636030296158,31.999999999999996,7.568428928315703,31.999999999999996,5.772690695639561,31.999999999999996,3.7398019707671164,31.999999999999996,1.9507210061227855
32.25,9.618487468603895,32.25,7.493066401986275,32.25,5.687053729184945,32.25,3.680037831149768,32.25,1.9185449535630656
32.5,9.555462434477374,32.5,7.428313342944449,32.5,5.6025732951231415,32.5,3.62214872589327,32.5,1.8757337196129136
32.75,9.462444820600094,32.75,7.350882806572434,32.75,5.524219013473552,32.75,3.559651541754741,32.75,1.855675126632672
33,9.395748375892524,33,7.26316258934708,33,5.418505640311462,33,3.487793498747399,33,1.7854632253438325
33.25,9.305016654827357,33.25,7.179608279689964,33.25,5.321752480797627,33.25,3.4170976969754836,33.25,1.745234373752055
33.5,9.221163893049463,33.5,7.085967304987354,33.5,5.218199120101201,33.5,3.3495350803558335,33.5,1.6890016471373244
33.75,9.127306275193568,33.75,6.988033662953631,33.75,5.106777092664465,33.75,3.2655136115415715,33.75,1.6371601583765827
